phi_deg,x_boundary,y_boundary,x_query,y_query,sig_tt,sig_nn,sig_nt,sig_tt_eff
0,0.18,0,0.179738200612201,0,3.44077429173037,0.0471639811813759,0.0305128333062451,3.44077429173037
0.25,0.179999714421622,0.000130899278542397,0.179737917525964,0.000129756966842872,3.44047445700566,0.0474018321340895,0.0299737315601329,3.44047445700566
0.5,0.179998857691925,0.000261796064951218,0.179737068272644,0.000259511463300136,3.44004260053485,0.0476135873152748,0.0295092421505463,3.44004260053485
0.75,0.17999742982722,0.000392687867140333,0.17973565286841,0.000389261019033217,3.43947674921506,0.0478012240181882,0.0291170097056704,3.43947674921506
1,0.179995430854692,0.000523572193118505,0.179733671340207,0.000519003163797603,3.43877498186385,0.0479666706259551,0.0287946431076561,3.43877498186385
1.25,0.179992860812397,0.000654446551036834,0.179731123725763,0.000648735427489877,3.43793542977604,0.0481118060545306,0.0285397163469437,3.43793542977604
1.5,0.179989719749267,0.000785308449236194,0.179728010073579,0.000778455340194743,3.43695627726759,0.0482384592086328,0.0283497693846374,3.43695627726759
1.75,0.179986007725101,0.00091615539629468,0.179724330442936,0.000908160432232052,3.43583576220648,0.0483484084506647,0.0282223090226891,3.43583576220648
2,0.179981724810573,0.00104698490107503,0.179720084903887,0.00103784823420382,3.43457217653008,0.0484433810829461,0.0281548097818336,3.43457217653008
2.25,0.179976871087222,0.00117779447277206,0.179715273537263,0.00116751627704123,3.43316386674945,0.0485250528431497,0.0281447147869549,3.43316386674945
2.5,0.179971446647456,0.00130858162096008,0.179709896434664,0.00129716209205166,3.43160923443993,0.0485950474131851,0.0281894366597785,3.43160923443993
2.75,0.179965451594549,0.00143934385564032,0.179703953698463,0.00142678321096568,3.42990673671838,0.048654935941564,0.028286358418655,3.42990673671838
3,0.179958886042637,0.00157007868728831,0.1796974454418,0.00155637716598403,3.42805488670663,0.048706236579368,0.0284328343852566,3.42805488670663
3.25,0.17995175011672,0.00170078362690133,0.179690371788585,0.00168594148982461,3.42605225398125,0.0487504140299095,0.0286261910979867,3.42605225398125
3.5,0.179944043952656,0.00183145618604571,0.179682732873488,0.00181547371576945,3.42389746500937,0.0487888791122004,0.0288637282319186,3.42389746500937
3.75,0.179935767697158,0.00196209387690429,0.179674528841944,0.00194497137771169,3.42158920357073,0.0488229883382633,0.0291427195250347,3.42158920357073
4,0.179926921507795,0.00209269421232376,0.179665759850146,0.00207443201020252,3.41912621116556,0.0488540435044461,0.0294604137106073,3.41912621116556
4.25,0.179917505552985,0.00222325470586198,0.179656426065043,0.0022038531484981,3.41650728740849,0.0488832912967265,0.0298140354554733,3.41650728740849
4.5,0.179907520011994,0.00235377287183535,0.179646527664336,0.00233323232860652,3.41373129040801,0.0489119229102712,0.0302007863040795,3.41373129040801
4.75,0.179896965074933,0.00248424622536613,0.179636064836477,0.00246256708733469,3.41079713713206,0.0489410736830328,0.0306178456279747,3.41079713713206
5,0.179885840942752,0.00261467228242974,0.179625037780663,0.00259185496233523,3.40770380375891,0.0489718227437996,0.0310623715806818,3.40770380375891
5.25,0.17987414782724,0.00274504855990207,0.179613446706833,0.00272109349215336,3.40445032601383,0.0490051926745034,0.031531502057638,3.40445032601383
5.5,0.179861885951015,0.00287537257560672,0.179601291835665,0.00285028021627378,3.40103579949115,0.0490421491870126,0.0320223556610607,3.40103579949115
5.75,0.179849055547527,0.00300564184836229,0.17958857339857,0.00297941267516746,3.39745937996187,0.0490836008143878,0.0325320326694944,3.39745937996187
6,0.179835656861048,0.0031358538980296,0.179575291637688,0.00310848841033855,3.3937202836666,0.0491303986167364,0.0330576160118623,3.3937202836666
