phi_deg,x_boundary,y_boundary,x_query,y_query,sig_tt,sig_nn,sig_nt,sig_tt_eff
0,0.18,0,0.1798691003061,0,3.58447405383233,-0.000747400539902846,-0.00672797611571909,3.58447405383233
0.25,0.179999714421622,0.000130899278542397,0.179868815973793,0.000130328122692635,3.58458811208937,-0.000870601952273908,-0.00672171210590834,3.58458811208937
0.5,0.179998857691925,0.000261796064951218,0.179867962982285,0.000260653764125677,3.58481431954377,-0.00112365931729209,-0.0067447120128727,3.58481431954377
0.75,0.17999742982722,0.000392687867140333,0.179866541347815,0.000390974443086775,3.58515345961054,-0.00150735553880051,-0.00679469605543603,3.58515345961054
1,0.179995430854692,0.000523572193118505,0.17986455109745,0.000521287678458054,3.58560628148724,-0.00202243896606509,-0.00686937019965482,3.58560628148724
1.25,0.179992860812397,0.000654446551036834,0.17986199226908,0.000651590989263355,3.58617349993106,-0.00266962317089899,-0.00696642664244434,3.58617349993106
1.5,0.179989719749267,0.000785308449236194,0.179858864911423,0.000781881894715469,3.58486773554436,-0.00382436624144239,-0.00145295701521564,3.58486773554436
1.75,0.179986007725101,0.00091615539629468,0.179855169084018,0.000912157914263366,3.57369982281758,-0.00430301246246896,0.0150981070195815,3.57369982281758
2,0.179981724810573,0.00104698490107503,0.17985090485723,0.00104241656763942,3.55440333730521,-0.00225493094343175,0.0292206413883734,3.55440333730521
2.25,0.179976871087222,0.00117779447277206,0.179846072312242,0.00117265537490664,3.53855568178842,0.00865129621301368,0.0282880372008918,3.53855568178842
2.5,0.179971446647456,0.00130858162096008,0.17984067154106,0.00130287185650587,3.53072520268121,0.0138820423132866,0.0253143843781732,3.53072520268121
2.75,0.179965451594549,0.00143934385564032,0.179834702646506,0.001433063533303,3.52411403013571,0.0181105582830819,0.0221140283540707,3.52411403013571
3,0.179958886042637,0.00157007868728831,0.179828165742219,0.00156322792663617,3.51986778345184,0.0200848138592819,0.0205067411258109,3.51986778345184
3.25,0.17995175011672,0.00170078362690133,0.179821060952653,0.00169336255836297,3.51748801192842,0.0202516900882467,0.020250007021301,3.51748801192842
3.5,0.179944043952656,0.00183145618604571,0.179813388413072,0.00182346495090758,3.51497336422161,0.0203885364033442,0.0200667893907556,3.51497336422161
3.75,0.179935767697158,0.00196209387690429,0.179805148269551,0.00195353262730799,3.51232170083072,0.0204975375751787,0.0199547777477641,3.51232170083072
4,0.179926921507795,0.00209269421232376,0.17979634067897,0.00208356311126314,3.50953093333887,0.020580830429243,0.019911621234049,3.50953093333887
4.25,0.179917505552985,0.00222325470586198,0.179786965809014,0.00221355392718004,3.50659902505102,0.020640503206995,0.0199349294595379,3.50659902505102
4.5,0.179907520011994,0.00235377287183535,0.179777023838165,0.00234350260022094,3.50352399161908,0.0206785949397543,0.0200222733517886,3.50352399161908
4.75,0.179896965074933,0.00248424622536613,0.179766514955705,0.00247340665635041,3.50030390165413,0.0206970948354212,0.0201711860144847,3.50030390165413
5,0.179885840942752,0.00261467228242974,0.179755439361708,0.00260326362238249,3.49693687732556,0.0206979416782857,0.0203791635949212,3.49693687732556
5.25,0.17987414782724,0.00274504855990207,0.179743797267037,0.00273307102602772,3.49342109494689,0.0206830232419633,0.0206436661602266,3.49342109494689
5.5,0.179861885951015,0.00287537257560672,0.17973158889334,0.00286282639594025,3.48975478554852,0.0206541757155433,0.0209621185821104,3.48975478554852
5.75,0.179849055547527,0.00300564184836229,0.179718814473049,0.00299252726176488,3.48593623543669,0.0206131831432255,0.0213319114300503,3.48593623543669
6,0.179835656861048,0.0031358538980296,0.179705474249368,0.00312217115418407,3.48196378673918,0.0205617768773721,0.0217504018726002,3.48196378673918
6.25,0.17982169014667,0.00326600624555894,0.179691568476277,0.00325175560496501,3.47763722200062,0.0206806734767089,0.0217298967590673,3.47763722200062
